Class,Proportion [%]
Ludwig Theodor Braun,0.04
Wan Long,0.04
Jimmy Buffett,0.04
Hideyuki Busujima,0.04
Edouard Carmignac,0.04
Chang Kuo-Ming,0.04
Chen Jiancheng,0.04
Rui Chen,0.04
Chen Shiliang,0.04
Tianqiao Chen,0.04
Yuantai Chen,0.04
Cheng Antares,0.04
Ana Maria Brescia Cafferata,0.04
Wang Han,0.04
Lars Wingefors,0.04
Allan Wong,0.04
Tiger Woods,0.04
Horst Wortmann,0.04
Wu Kaiting,0.04
Wu Li-gann,0.04
Wu Xiangdong,0.04
Xiu Laigui,0.04
Zhu Yiming,0.04
Xue Jiping,0.04
Yao Hsiao Tung,0.04
Ye Qiongjiu,0.04
Yanqiao Ye,0.04
Yeh Kuo-I,0.04
Yu Faxiang,0.04
Zeng Chaolin,0.04
Kapeng Zhang,0.04
Zhang Xuansong,0.04
Zhang Xuewu,0.04
Xu Jiangnan,0.04
Marius Nacht,0.04
Tadako Nakatani,0.04
Vadim Novinsky,0.04
Niti Osathanugrah,0.04
Gretel Packer,0.04
Pan Longquan,0.04
Pan Shiyi,0.04
David Paul,0.04
Tom Persson,0.04
Ke Guihua,0.04
Qin Long,0.04
M.Satyanarayana Reddy,0.04
Mochtar Riady & family,0.04
Rihanna,0.04
Boris Rotenberg,0.04
Subhash Runwal,0.04
Igor Rybakov,0.04
Carlos Sanchez,0.04
Martin Selig,0.04
Qian Jinghong,0.04
Raymond Kwok,0.04
Lee Ho-jin,0.04
Michael Lee-Chin,0.04
Manfredi Lefebvre d'Ovidio & family,0.04
Bernard Lewis & family,0.04
Li Jinyang,0.04
William Li,0.04
Jenny Lindén Urnes,0.04
Liu Fangyi,0.04
Yoshiko Mori,0.04
Liu Ming Chung,0.04
Anatoly Lomakin,0.04
Brandt Louie,0.04
Lucia Maggi & family,0.04
