Class,Proportion [%]
Jianyong,0.04
Amit,0.04
Girdhari Lal,0.04
Lixiang,0.04
Nigel,0.04
Zongwen,0.04
Bangxin,0.04
Michael Minhong,0.04
Tingdong,0.04
Zhihan,0.04
Wu,0.04
Farris,0.04
Xianding,0.04
Junmin,0.04
Jens,0.04
Kenny,0.04
Binny,0.04
Lucia,0.04
Brandt,0.04
Ming Chung,0.04
K.C.,0.04
Fangyi,0.04
Jenny,0.04
Jinyang,0.04
Manfredi,0.04
Ho-jin,0.04
Raymond,0.04
Leng Peck,0.04
Ayman,0.04
Liong Tek,0.04
Liong Seen,0.04
Liong Phing,0.04
Liong Keng,0.04
Hemendra,0.04
Wee Meng,0.04
Taek-jin,0.04
Zunhong,0.04
Rameshchandra,0.04
Jinxiang,0.04
Drew,0.04
Xiaopeng,0.04
Leng Keow,0.04
Hamad bin Jassim bin Jaber,0.04
Sanjay,0.04
Yanmin,0.04
Kostyantin,0.04
Tongtong,0.04
Peng,0.04
Chaoyi,0.04
Shaochun,0.04
Xiaochuan,0.04
Xushun,0.04
Xiaoge,0.04
Shyam,0.04
Lidong,0.04
Mingwang,0.04
Junjin,0.04
Jianguo,0.04
Pongsak,0.04
Clemens,0.04
Rustem,0.04
Jessica,0.04
Fei,0.04
Diana Teh Li,0.04
Devi,0.04
Hajime,0.04
Myron,0.04
Shirley,0.04
Guanlin,0.04
Orion,0.04
Fahed,0.04
Saroj Rani,0.04
Balkrishan,0.04
Zsolt,0.04
Hongbo,0.04
Jose,0.04
Sefik Yilmaz,0.04
Shui Po,0.04
Jose Maria,0.04
Darwin,0.04
Yong-jin,0.04
Xianfeng,0.04
Xianbao,0.04
Friederike,0.04
Bernhard,0.04
Houshan,0.04
Sharon,0.04
Naomi,0.04
Danna,0.04
Mehmet,0.04
Tope,0.04
Diego,0.04
Kristo,0.04
Eduard,0.04
Kagemasa,0.04
Seth,0.04
Zbigniew,0.04
Conni,0.04
Guiting,0.04
Anurang,0.04
Gregg,0.04
Lillyn Teh Li,0.04
Kin Hong,0.04
Nobutada,0.04
Simona,0.04
Marvy,0.04
Yoichi,0.04
Keiko,0.04
Weimin,0.04
